iter	Logloss
0	0.6468306132
1	0.6069560433
2	0.5797667512
3	0.5560195045
4	0.5353172795
5	0.5191489407
6	0.5063629277
7	0.4954563699
8	0.4882407405
9	0.4815566
10	0.4749758349
11	0.4661518608
12	0.4613650804
13	0.4571395888
14	0.4517511433
15	0.4474321158
16	0.4431557051
17	0.4401804311
18	0.4356523008
19	0.4313708682
20	0.429137095
21	0.4268873845
22	0.4254445532
23	0.4216464499
24	0.4193864583
25	0.4157449807
26	0.4127054913
27	0.4106629488
28	0.407916537
29	0.4063429642
30	0.4046381713
31	0.4032105741
32	0.4019040491
33	0.4007853348
34	0.4004316868
35	0.399007056
36	0.3980408204
37	0.3972318635
38	0.3962524905
39	0.3951878966
40	0.3936617285
41	0.3924861052
42	0.3908621977
43	0.3899360688
44	0.3891153292
45	0.3881622751
46	0.3872738647
47	0.3865240914
48	0.3837850094
49	0.3832391535
50	0.3826147141
51	0.3813318159
52	0.3806717936
53	0.3789692517
54	0.3779798591
55	0.3771365591
56	0.3758340124
57	0.3750922446
58	0.3745067643
59	0.3740039314
60	0.373101627
61	0.3726630601
62	0.3719283339
63	0.3713613352
64	0.3708719764
65	0.3694270841
66	0.3689006847
67	0.3676022911
68	0.3671558366
69	0.3663181007
70	0.3656827707
71	0.364521347
72	0.3638791606
73	0.3634848679
74	0.3614879602
75	0.3606183913
76	0.3600355852
77	0.3596258252
78	0.359172101
79	0.3585031083
80	0.3577512611
81	0.3565792407
82	0.3559478903
83	0.3549727624
84	0.3543390119
85	0.3540018842
86	0.3534935412
87	0.3526995757
88	0.3521877565
89	0.3518841161
90	0.3514629334
91	0.3507947507
92	0.3503009331
93	0.3495651124
94	0.3491159125
95	0.3483994266
96	0.3478295693
97	0.3464389002
98	0.3459637371
99	0.3454409453
100	0.344601479
101	0.3439196661
102	0.3432127434
103	0.342706353
104	0.3422521844
105	0.3417688534
106	0.3414243691
107	0.3408263477
108	0.3403479487
109	0.3400295773
110	0.3388366166
111	0.3379284287
112	0.3371875233
113	0.3365166819
114	0.3355964908
115	0.3350219524
116	0.3342809248
117	0.3336796723
118	0.3332397963
119	0.3325635461
120	0.3311964142
121	0.3307526769
122	0.3304873848
123	0.32994239
124	0.3293699466
125	0.3284630441
126	0.3277215735
127	0.3269703519
128	0.3265327459
129	0.3258007144
130	0.3254310404
131	0.3249405784
132	0.3244635086
133	0.3239282942
134	0.3232462246
135	0.3226398941
136	0.321921694
137	0.3215020709
138	0.3203660994
139	0.3196095795
140	0.3190465884
141	0.3185168539
142	0.3179987088
143	0.3169059381
144	0.3163447912
145	0.3160288659
146	0.3149617727
147	0.314127775
148	0.31354722
149	0.3131038249
150	0.3127749414
151	0.3122233428
152	0.3112919128
153	0.3110921149
154	0.3101017689
155	0.3094577801
156	0.3088600471
157	0.3085274001
158	0.308060797
159	0.3075009999
160	0.3071129522
161	0.3069241108
162	0.306542282
163	0.3061105319
164	0.3057365566
165	0.3051444448
166	0.3044336029
167	0.3041808184
168	0.3036571054
169	0.3030443101
170	0.3026578886
171	0.3016759043
172	0.3013829339
173	0.301129844
174	0.30069203
175	0.3003376677
176	0.2993079866
177	0.2986342177
178	0.2980693785
179	0.2976277393
180	0.29720582
181	0.2967754504
182	0.2962440581
183	0.2959124753
184	0.2953112621
185	0.2949806686
186	0.2946529962
187	0.2942035708
188	0.2938333635
189	0.2934351604
190	0.2927399239
191	0.2922918445
192	0.2919498584
193	0.291531229
194	0.2913302295
195	0.2908222663
196	0.2906675056
197	0.2902517533
198	0.2898355492
199	0.2892736223
200	0.2890053483
201	0.2886503999
202	0.2881872566
203	0.2875844485
204	0.2868347954
205	0.2865263036
206	0.2861091664
207	0.2857709532
208	0.2853261475
209	0.2849565259
210	0.2846158853
211	0.2844143243
212	0.2839930687
213	0.2835146325
214	0.2833300623
215	0.2826352488
216	0.2824584094
217	0.2822013537
218	0.2817975671
219	0.2817685844
220	0.2813552041
221	0.2811455971
222	0.2802427962
223	0.2797720242
224	0.2794036232
225	0.2789768563
226	0.2786403971
227	0.2780397392
228	0.2775310811
229	0.2771152377
230	0.2765919746
231	0.276109345
232	0.2757282471
233	0.2749877585
234	0.274537801
235	0.274087269
236	0.2737847597
237	0.2734286286
238	0.2730242531
239	0.2727507996
240	0.2721138728
241	0.271657302
242	0.2713843095
243	0.2709964885
244	0.2708673271
245	0.270564562
246	0.2702105502
247	0.2698237207
248	0.2692119797
249	0.2686110171
