iter	Passed	Remaining
0	9	9030
1	22	11359
2	37	12367
3	47	11728
4	57	11510
5	69	11481
6	81	11590
7	108	13448
8	133	14692
9	144	14338
10	157	14121
11	169	13933
12	180	13668
13	202	14247
14	222	14640
15	262	16163
16	275	15908
17	296	16176
18	313	16200
19	327	16052
20	347	16211
21	364	16202
22	389	16526
23	412	16780
24	460	17961
25	478	17943
26	528	19052
27	557	19336
28	577	19322
29	607	19651
30	640	20017
31	669	20263
32	699	20489
33	725	20613
34	758	20923
35	775	20779
36	809	21076
37	830	21037
38	852	21005
39	867	20823
40	882	20651
41	908	20716
42	929	20681
43	947	20592
44	975	20707
45	1006	20877
46	1028	20847
47	1053	20886
48	1072	20817
49	1090	20713
50	1107	20613
51	1122	20469
52	1147	20502
53	1155	20247
54	1175	20199
55	1192	20097
56	1214	20093
57	1237	20101
58	1256	20047
59	1272	19940
60	1297	19967
61	1316	19911
62	1334	19844
63	1343	19646
64	1378	19830
65	1387	19629
66	1407	19601
67	1416	19415
68	1435	19364
69	1447	19235
70	1462	19140
71	1477	19047
72	1492	18955
73	1506	18849
74	1517	18719
75	1522	18509
76	1544	18515
77	1549	18311
78	1562	18211
79	1576	18130
80	1591	18057
81	1605	17969
82	1619	17890
83	1633	17807
84	1637	17626
85	1650	17544
86	1664	17470
87	1670	17307
88	1681	17214
89	1695	17147
90	1711	17098
91	1725	17031
92	1740	16977
93	1753	16904
94	1778	16938
95	1792	16875
96	1807	16822
97	1811	16674
98	1823	16599
99	1839	16554
100	1853	16500
101	1867	16443
102	1878	16359
103	1884	16237
104	1903	16226
105	1917	16171
106	1932	16130
107	1946	16078
108	1951	15952
109	1963	15882
110	1979	15854
111	1991	15790
112	2006	15751
113	2021	15709
114	2035	15661
115	2049	15621
116	2061	15556
117	2066	15445
118	2073	15350
119	2079	15253
120	2091	15195
121	2107	15169
122	2115	15086
123	2129	15045
124	2146	15024
125	2159	14976
126	2172	14936
127	2180	14853
128	2185	14754
129	2189	14655
130	2195	14563
131	2200	14471
132	2205	14375
133	2211	14295
134	2217	14207
135	2223	14126
136	2233	14072
137	2239	13991
138	2244	13900
139	2250	13822
140	2254	13735
141	2266	13691
142	2275	13635
143	2294	13636
144	2301	13570
145	2306	13493
146	2311	13413
147	2317	13341
148	2321	13260
149	2327	13191
150	2332	13112
151	2343	13076
152	2356	13047
153	2366	13002
154	2376	12957
155	2385	12908
156	2400	12886
157	2414	12869
158	2425	12826
159	2438	12799
160	2451	12773
161	2464	12746
162	2476	12716
163	2490	12696
164	2504	12672
165	2513	12628
166	2535	12648
167	2540	12580
168	2547	12525
169	2552	12463
170	2557	12398
171	2567	12359
172	2577	12321
173	2591	12302
174	2604	12278
175	2616	12251
176	2629	12228
177	2643	12205
178	2655	12181
179	2668	12157
180	2681	12133
181	2692	12102
182	2708	12091
183	2719	12062
184	2732	12037
185	2741	11999
186	2751	11963
187	2761	11928
188	2771	11892
189	2782	11864
190	2795	11842
191	2811	11830
192	2822	11803
193	2836	11783
194	2847	11754
195	2860	11734
196	2876	11724
197	2887	11694
198	2898	11667
199	2910	11641
200	2923	11621
201	2936	11602
202	2954	11599
203	2965	11571
204	2979	11553
205	2993	11539
206	3004	11510
207	3016	11487
208	3030	11468
209	3040	11437
210	3049	11403
211	3059	11372
212	3069	11339
213	3075	11297
214	3080	11247
215	3089	11213
216	3093	11163
217	3099	11120
218	3104	11072
219	3110	11027
220	3116	10984
221	3121	10940
222	3131	10911
223	3146	10900
224	3157	10874
225	3167	10846
226	3178	10824
227	3193	10814
228	3207	10800
229	3218	10774
230	3229	10751
231	3243	10737
232	3259	10731
233	3270	10704
234	3281	10681
235	3306	10702
236	3320	10691
237	3332	10668
238	3343	10644
239	3353	10619
240	3366	10603
241	3383	10599
242	3396	10579
243	3413	10577
244	3429	10567
245	3441	10548
246	3457	10539
247	3471	10525
248	3482	10503
249	3500	10501
250	3512	10480
251	3523	10459
252	3537	10445
253	3548	10421
254	3560	10401
255	3574	10388
256	3580	10352
257	3594	10339
258	3613	10339
259	3626	10322
260	3649	10333
261	3660	10311
262	3671	10289
263	3695	10302
264	3727	10338
265	3742	10328
266	3761	10327
267	3769	10295
268	3782	10277
269	3813	10310
270	3830	10305
271	3852	10310
272	3865	10292
273	3891	10311
274	3911	10312
275	3926	10298
276	3941	10286
277	3958	10280
278	4009	10361
279	4026	10352
280	4058	10383
281	4073	10371
282	4093	10370
283	4111	10365
284	4131	10364
285	4148	10355
286	4165	10348
287	4183	10343
288	4211	10362
289	4229	10354
290	4244	10341
291	4272	10360
292	4301	10379
293	4333	10405
294	4370	10445
295	4388	10438
296	4412	10443
297	4430	10436
298	4469	10478
299	4492	10482
300	4524	10506
301	4544	10502
302	4574	10522
303	4593	10515
304	4621	10530
305	4629	10498
306	4657	10512
307	4681	10517
308	4710	10532
309	4733	10536
310	4755	10536
311	4783	10547
312	4791	10516
313	4807	10502
314	4832	10508
315	4860	10520
316	4881	10517
317	4907	10525
318	4929	10523
319	4957	10534
320	4984	10543
321	5013	10557
322	5033	10550
323	5052	10541
324	5076	10543
325	5095	10533
326	5121	10541
327	5147	10545
328	5184	10573
329	5212	10583
330	5229	10568
331	5249	10561
332	5268	10553
333	5297	10562
334	5310	10542
335	5325	10524
336	5353	10532
337	5364	10505
338	5386	10502
339	5403	10488
340	5419	10474
341	5448	10482
342	5472	10482
343	5492	10474
344	5516	10474
345	5531	10455
346	5557	10459
347	5576	10447
348	5584	10417
349	5600	10401
350	5625	10401
351	5650	10402
352	5670	10393
353	5697	10397
354	5728	10408
355	5753	10408
356	5778	10407
357	5799	10399
358	5830	10410
359	5841	10384
360	5868	10387
361	5889	10380
362	5903	10359
363	5937	10373
364	5958	10365
365	5979	10357
366	5996	10341
367	6014	10328
368	6035	10320
369	6056	10312
370	6077	10304
371	6089	10280
372	6101	10255
373	6119	10242
374	6144	10240
375	6158	10220
376	6173	10202
377	6184	10176
378	6205	10167
379	6230	10165
380	6247	10150
381	6263	10133
382	6277	10112
383	6302	10110
384	6319	10095
385	6329	10067
386	6339	10041
387	6351	10018
388	6360	9991
389	6370	9963
390	6380	9937
391	6392	9915
392	6405	9892
393	6422	9877
394	6437	9859
395	6443	9827
396	6466	9822
397	6483	9806
398	6494	9783
399	6507	9761
400	6519	9738
401	6524	9706
402	6544	9694
403	6567	9689
404	6582	9670
405	6603	9661
406	6622	9648
407	6639	9633
408	6656	9618
409	6674	9604
410	6691	9588
411	6722	9593
412	6752	9597
413	6768	9581
414	6788	9569
415	6799	9545
416	6814	9527
417	6829	9509
418	6843	9489
419	6855	9467
420	6869	9447
421	6881	9425
422	6892	9402
423	6912	9390
424	6924	9368
425	6939	9350
426	6953	9330
427	6973	9319
428	6995	9310
429	7008	9290
430	7022	9270
431	7041	9257
432	7064	9250
433	7082	9236
434	7094	9214
435	7110	9198
436	7123	9177
437	7128	9146
438	7153	9141
439	7169	9125
440	7175	9095
441	7201	9091
442	7226	9085
443	7244	9072
444	7267	9063
445	7285	9049
446	7306	9039
447	7321	9021
448	7343	9011
449	7360	8996
450	7375	8978
451	7398	8969
452	7410	8948
453	7421	8925
454	7432	8902
455	7445	8882
456	7456	8860
457	7469	8839
458	7485	8823
459	7506	8811
460	7531	8806
461	7551	8793
462	7562	8770
463	7575	8750
464	7589	8732
465	7603	8713
466	7613	8689
467	7630	8674
468	7643	8654
469	7654	8632
470	7669	8613
471	7684	8595
472	7695	8574
473	7705	8550
474	7724	8537
475	7742	8522
476	7755	8503
477	7769	8485
478	7788	8471
479	7809	8459
480	7840	8460
481	7857	8444
482	7870	8424
483	7888	8410
484	7899	8388
485	7917	8373
486	7931	8354
487	7953	8344
488	7965	8323
489	7988	8314
490	8000	8293
491	8015	8276
492	8031	8259
493	8051	8247
494	8076	8239
495	8097	8227
496	8125	8223
497	8144	8210
498	8163	8196
499	8172	8172
500	8189	8156
501	8199	8133
502	8218	8120
503	8233	8103
504	8245	8082
505	8261	8065
506	8274	8046
507	8288	8027
508	8304	8010
509	8325	7999
510	8345	7986
511	8366	7974
512	8382	7957
513	8403	7946
514	8424	7934
515	8443	7919
516	8538	7977
517	8685	8081
518	8706	8068
519	8721	8050
520	8750	8045
521	8765	8026
522	8780	8008
523	8795	7989
524	8811	7972
525	8827	7955
526	8850	7943
527	8884	7941
528	8902	7926
529	8912	7903
530	8927	7884
531	8937	7861
532	8951	7843
533	8961	7820
534	8965	7792
535	8978	7772
536	8992	7753
537	9009	7736
538	9019	7714
539	9037	7698
540	9055	7683
541	9072	7666
542	9089	7649
543	9111	7637
544	9127	7619
545	9149	7607
546	9169	7593
547	9173	7566
548	9187	7547
549	9200	7527
550	9215	7509
551	9219	7482
552	9238	7467
553	9253	7449
554	9267	7430
555	9282	7412
556	9297	7394
557	9311	7375
558	9326	7358
559	9341	7339
560	9382	7342
561	9408	7332
562	9447	7333
563	9462	7315
564	9472	7293
565	9496	7281
566	9510	7262
567	9516	7237
568	9535	7222
569	9539	7196
570	9555	7178
571	9570	7161
572	9585	7142
573	9645	7158
574	9649	7132
575	9663	7113
576	9676	7093
577	9690	7075
578	9694	7049
579	9733	7048
580	9749	7030
581	9757	7007
582	9768	6987
583	9784	6969
584	9795	6948
585	9807	6928
586	9816	6906
587	9821	6881
588	9828	6858
589	9839	6837
590	9856	6820
591	9869	6802
592	9880	6781
593	9893	6762
594	9909	6744
595	9921	6725
596	9931	6704
597	9940	6682
598	9950	6661
599	9960	6640
600	9971	6620
601	9984	6600
602	9992	6578
603	10005	6559
604	10021	6542
605	10032	6522
606	10042	6501
607	10052	6481
608	10065	6462
609	10079	6444
610	10095	6427
611	10105	6406
612	10120	6389
613	10135	6372
614	10145	6351
615	10158	6332
616	10173	6315
617	10188	6297
618	10198	6277
619	10209	6257
620	10226	6241
621	10238	6222
622	10250	6202
623	10262	6183
624	10276	6165
625	10292	6149
626	10305	6130
627	10320	6113
628	10333	6094
629	10343	6074
630	10355	6055
631	10368	6037
632	10376	6016
633	10384	5994
634	10391	5973
635	10397	5950
636	10401	5927
637	10406	5904
638	10413	5883
639	10419	5860
640	10423	5837
641	10429	5815
642	10433	5792
643	10439	5771
644	10444	5748
645	10450	5726
646	10454	5703
647	10460	5682
648	10465	5659
649	10476	5641
650	10487	5622
651	10503	5606
652	10517	5588
653	10529	5570
654	10542	5553
655	10558	5536
656	10571	5518
657	10582	5500
658	10597	5483
659	10609	5465
660	10622	5448
661	10642	5433
662	10659	5418
663	10665	5396
664	10675	5378
665	10687	5359
666	10700	5342
667	10716	5325
668	10726	5307
669	10741	5290
670	10756	5274
671	10767	5255
672	10780	5238
673	10795	5221
674	10806	5203
675	10819	5185
676	10835	5169
677	10846	5151
678	10859	5133
679	10871	5115
680	10884	5098
681	10899	5082
682	10910	5063
683	10925	5047
684	10939	5030
685	10949	5011
686	10964	4995
687	10979	4979
688	11028	4978
689	11065	4971
690	11088	4958
691	11102	4941
692	11131	4931
693	11147	4915
694	11169	4901
695	11190	4887
696	11201	4869
697	11218	4853
698	11237	4839
699	11249	4821
700	11264	4804
701	11275	4786
702	11284	4767
703	11303	4752
704	11319	4736
705	11335	4720
706	11352	4704
707	11373	4690
708	11389	4674
709	11401	4657
710	11423	4643
711	11432	4624
712	11454	4610
713	11468	4593
714	11486	4578
715	11499	4561
716	11520	4547
717	11541	4532
718	11552	4514
719	11574	4501
720	11583	4482
721	11603	4467
722	11615	4450
723	11636	4436
724	11678	4429
725	11682	4409
726	11689	4389
727	11694	4369
728	11701	4349
729	11713	4332
730	11729	4316
731	11741	4298
732	11759	4283
733	11763	4263
734	11779	4247
735	11790	4229
736	11811	4214
737	11823	4197
738	11843	4183
739	11861	4167
740	11879	4152
741	11895	4136
742	11905	4117
743	11930	4105
744	11964	4095
745	11975	4077
746	11992	4061
747	12006	4045
748	12032	4032
749	12043	4014
750	12066	4000
751	12079	3983
752	12100	3969
753	12119	3954
754	12138	3938
755	12152	3922
756	12166	3905
757	12171	3885
758	12175	3866
759	12180	3846
760	12184	3826
761	12189	3807
762	12193	3787
763	12198	3768
764	12203	3748
765	12207	3729
766	12211	3709
767	12216	3690
